urd-wl-83-174268-11364090-post1__3	میری نظر میں تو یہ ان کا شرعی حق ہے آپ کیا کہتے ہیں؟	In my opinion, this is religious right, what do you say?	In my point of view, it is their religious right, what do you say?	I believe this is his legitimate right. What do you say?	In my opinion they have the right? what would be ur opinion?	-29.9794	-35.745	-31.4313	-71.4188	-28.4531	-32.8619	-30.5093	-70.3788
urd-wl-86-174276-11370236-post1__2	اعلیٰ امریکی حکام کا کہنا ہے کہ صدر اوباما افغان صدر حامد کرزئی کے بارے میں سخت موقف اختیار کریں گے	high level American official said that president Obama made strong policy against Afghan president Hamid Karzai.	top American officials say that president Obama will take strict stance over Afghan president Hamid Karzai.	High ambassadors of America say that President Obama will take a strong stand against Afghan President Hamid Karzai.	American high officials have stated that President Obama will take a stern attitude towards the Afghan President Hamid Karzai.	-101.245	-101.78	-100.084	-101.228	-102.126	-102.569	-101.312	-101.835
urd-wl-86-174276-11370236-post1__3	، افغانستان کے بارے میں امریکا کی نئی حکمت عملی میں ترقی کی بجائے جنگ کو زیادہ اہمیت دی گئی ہے۔	on this new policy of America about Afghanistan give more importance on War instead of Development.	in the new American policy over Afghanistan, there is more emphasis on war than development.	In America's new policy for Afghanistan, instead of development, war has been given more importance.	The new American strategy towards Afghanistan will focus on war instead of development	-43.9852	-36.8638	-41.8063	-35.0517	-45.2951	-37.8051	-42.1519	-35.1071
urd-wl-86-174276-11370236-post1__4	حکام کا کہنا ہے کہ حامد کر زئی کو افغانستان میں امریکی اہداف کے حصول میں رکاوٹ سمجھا جارہا ہے کیونکہ حکومت میں کرپشن ہے،منشیات کا کاروبار بڑھ گیا ہے اور طالبان کی قوت دوبارہ جمع ہورہی ہے۔	Official said that Hamid Karzai consider as a hurdle in Afghanistan to get American Aid, because corruption in the government, intoxication business get increased and Taliban forces get regathered.	officials say that Hamid Karzai is considered to be a hurdle in achievement of American goals Since in his government, there is corruption, drugs business has increased and Taliban are regaining their power.	The envoys say that Hamid Karzai is being considered a barrier in the achievement of American goals in Afghanistan, as there is corruption in the government and the business of middlemen has increased and the Taliban are once more gathering strength.	The officials said that Hamid Karzai is being viewed as an obstacle in achieving American interests in Afghanistan because of government corruption and drug trafficking is on the rise and the Talibans are gaining strength	-170.279	-105.28	-108.078	-127.743	-171.01	-106.431	-110.008	-126.83
urd-wl-86-174276-11370236-post1__5	امریکی حکام کا کہنا ہے کہ امریکی انتظامیہ میں سے جو لوگ حامد کرزئی پر مزید کچھ کر نے کے لئے دباؤ ڈال رہے ہیں ان میں نائب صدر جو بائیڈن اور افغانستان اور پاکستان کے بارے میں صدر اوباما کے نمائندے رچرڈ ہال بروک شامل ہیں۔	American official said that those people from American government who put pressure on Hamid Karzai to do more in which vice president Joe Biden and representative of Brack Obama for Afghanistan and Pakistan Richard Holbrooke included.	American officials say that people, who are putting more pressure on Hamid Karzai to do more, include vice president Joe Biden and President Obama's representative for Afhanistan and Pakistan Richard Holbrooke.	The American envoys say that among the people in the American government who are stressing upon Hamid Karzai to do something more are Vice President Joseph Biden and President Obama's representative to Afghanistan and Pakistan, Richard Hallbrooke.	The American officials also said that those people in the current administration who are pressurizing Hamid Karzai to do more include, Vice President Joe Biden and American Envoy for Afghanistan and Pakistan, Richard Holbrook	-256.306	-250.194	-224.629	-215.159	-255.885	-248.386	-224.982	-216.505
urd-wl-86-174276-11370236-post1__6	انہوں نے کہا کہ یہ حکمت عملی صدر بش کے جانے کے بعد سامنے آئی ہے ،جو ہر دو ہفتے بعد حامد کر زئی کے ساتھ وڈیو کانفرنس کرتے تھے اور ان پر افغانستان اور اس کے شہری اداروں کی تعمیر نو میں امریکی کردار پر زور دیتے تھے۔	He said that this policy appeared after President Bush, who used to video conference with Hamid Karzai every two weeks, left. He used to stress upon the American role in rebuilding Afghanistan and its civilian institutions.	He said that the strategy came forward after President Bush left. He participated in video conference with Hamid Karzay every fortnight. Those conferences emphasized America's role in reconstructing Afghanistan and its cities.	He said that this good administration was noticed after the President Bush left, who used to have a video conference with Hamid Karzai after every 2 weeks and used to emphasize on the role of America in Afghanistan and the development of its city departments.	They stated that the policy change came after President Bush left office, who used to have video conferencing with Hamid Karzai fortnightly and emphasized the American role in the rebuilding of Afghanistan and its civil institutions.	-102.819	-185.632	-118.908	-144.19	-104.182	-186.372	-118.576	-143.688
urd-wl-86-174276-11370236-post1__7	حکام کا کہنا ہے کہ اوباما انتظامیہ مرکزی حکومت کے متبادل کے طور پر صوبائی رہنماؤں کے ساتھ کام کرے گی۔	Officials say that the Obama government would work with the State leaders rather than the central government.	The American officer says that the Central administration under Obama will work with local leaders for a change.	Officials say that Obama management will work with the state leaders as a backup with the main government.	The Obama administration will work with provincial political leaders instead of the central government.	-78.9472	-85.5013	-86.0184	-74.1916	-79.1268	-82.9598	-87.2679	-74.1472
urd-wl-86-174276-11370236-post1__8	حکام کا کہنا ہے کہ وہ حامد کر زئی سے کرپشن کے خلاف مزید جنگ کر نے پر زور دیں گے۔	The officials say that it will pressurize Karzai to step up the war against corruption.	The officer says stress will be given in the fight against corruption joining hands with the Karzay administration.	Officials say that they will emphasize Hamid Karzai on fighting against corruption	They said that they will ask Hamid Karzai to intensify the campaign against corruption.	-40.8287	-88.7472	-40.7774	-35.7001	-39.9226	-88.4227	-40.032	-35.4274
urd-wl-86-174276-11370236-post1__9	حامد کرزئی کو اس سال نئے انتخابات کا سامنا ہے اور یہ ابھی واضح نہیں ہے کہ اوباما اور ان کے ساتھی صدارت کے لئے ان کی حمایت کریں گے یا نہیں۔	Hamid Karzai is facing fresh elections this year, and it is not yet clear whether Obama and his group will support Karzai for presidency or not.	Hamid Karzay is going to face a new election and it is not still clear whether Obama and his friends will support Karzay's candidature for Presidentship.	Hamid Karzai faces new elections this year. And it is not clear as yet that Obama and his companions will favor his presidency or not.	Hamid Karzai is facing new elections this year and it is not yet clear whether Obama and his administration are going to back him up in the presidential race.	-110.256	-221.695	-152.139	-113.716	-108.543	-220.778	-151.342	-114.41
urd-wl-86-174276-11370236-post1__10	امریکی حکام کا یہ بیان افغانستان کے حوالے سے امریکی پالیسی میں تبدیلی کا پیش خیمہ تو نہیں؟	This statement of the American officials is not a precursor for a change in the American policy towards Afghanistan, is it?	Can we predict whether the declaration of the American Officer will effect a policy change in the Afghan affairs?	Is this statement, of the American officials, a forecast of change in American policy regarding Afghanistan?	Does this statement reflect a shift in American policy towards Afghanistan?	-45.6507	-52.5638	-50.1047	-34.0708	-45.1029	-53.7603	-48.9274	-33.7847
urd-wl-86-174276-11370236-post1__11	کیا حامد کرزئی کا دور ختم ہونے والا ہے؟	Is Hamid Karzai's rule coming to an end?	Whether Hamid Karzay's rule is coming to an end?	Is this era of Hamid Karzai ending?	Is Hamid Karzai’s era coming to an end?	-33.6261	-68.7385	-25.7948	-68.4765	-31.7428	-65.6859	-24.3067	-66.5932
urd-wl-86-174276-11370236-post1__12	اس بارے میں آپ کی کیا رائے ہے؟	What is your opinion about this?	What do you think about it?	What are your thoughts in this matter?	What is your say on this?	-13.2372	-12.1898	-16.9608	-15.1857	-10.5799	-9.06562	-15.0874	-14.4618
urd-wl-86-174276-11370238-post1__1	پاکستان اور سری لنکاکے درمیان تین ایک روزہ میچز کی سیریز میں سری لنکا نے پاکستان کو 1-2 سے شکست دے دی۔	In a series of three one day matches between Sri Lanka and Pakistan, Sri Lanka defeated Pakistan 2-1.	SriLanka beat Pakistan in the three one day international cricket match series for 2-1.	In the series of three one-day matches between Pakistan and SriLanka, Srilanka defeated Pakistan with 2-1.	n/a	-92.4541	-125.594	-164.683	-42.7141	-93.0634	-126.317	-164.567	-42.7141
urd-wl-86-174276-11370238-post1__2	پہلے ایک روزہ میچ میں پاکستان نے سری لنکا کو شکست سے دوچار کیا تاہم اگلے دو میچزمیں سری لنکا نے کامیابی حاصل کی۔	Pakistan had defeated Sri Lanka in the first match, but Sri Lanka was victorious in the remaining two matches.	In the first one day match Pakistan defeated SriLanka, however SriLanka won the remaining two matches.	Pakistan defeated Srilanka in the first one-day match although Srilanka won in the next two matches.	n/a	-62.0753	-127.959	-129.868	-42.7141	-62.3025	-128.283	-130.646	-42.7141
urd-wl-86-174276-11370238-post1__3	تیسرے ایک روزہ میچ میں قومی کرکٹ ٹیم کی کارکردگی انتہائی ناقص رہی ، قومی ٹیم سری لنکا کے 309رنز کے جواب میں صرف 23 اوورز میں75 رنز پر ڈھیرہوگئی اور یوں اسے عبرت ناک شکست کا سامنا کرنا پڑا۔	In the third one day match, the national cricket team's performance was very poor. In reply to Sri Lanka's 309 runs, it only managed to hit 75 runs in 23 overs before going all out. As such, it had to face a humiliating loss.	In the third one day match the performance of the national team was too awesome. The team chasing a target of 309 runs of SriLanka was able score only 75 in 23 overs.The national team should thus have learnt a lesson from this defeat.	In this third one-day match, the nation's team performance was very poor. They worn out in only 75 runs in 23 overs against 309 runs made by the national team of Srilanka.And this is how we faced a lesson learning defeat.	n/a	-227.991	-246.23	-216.927	-42.7141	-226.783	-247.398	-214.828	-42.7141
